"journal_name","journal_url"
"Applied_Numerical_Mathematics","https://www.sciencedirect.com/science/journal/01689274"
"Applied_Ocean_Research","https://www.sciencedirect.com/science/journal/01411187"
"Applied_Radiation_and_Isotopes","https://www.sciencedirect.com/science/journal/09698043"
"Applied_Soft_Computing","https://www.sciencedirect.com/science/journal/15684946"
"Applied_Superconductivity","https://www.sciencedirect.com/science/journal/09641807"
"Applied_Surface_Science","https://www.sciencedirect.com/science/journal/01694332"
"Applied_Thermal_Engineering","https://www.sciencedirect.com/science/journal/13594311"
"Arab_Journal_of_Mathematical_Sciences","https://www.sciencedirect.com/science/journal/13195166"
"Arabian_Journal_of_Chemistry","https://www.sciencedirect.com/science/journal/18785352"
"Archives_of_Civil_and_Mechanical_Engineering","https://www.sciencedirect.com/science/journal/16449665"
"Artificial_Intelligence","https://www.sciencedirect.com/science/journal/00043702"
"Artificial_Intelligence_in_Engineering","https://www.sciencedirect.com/science/journal/09541810"
"Artificial_Intelligence_in_Medicine","https://www.sciencedirect.com/science/journal/09333657"
"Astronomy_and_Computing","https://www.sciencedirect.com/science/journal/22131337"
"Astronomy_Quarterly","https://www.sciencedirect.com/science/journal/03649229"
"Astroparticle_Physics","https://www.sciencedirect.com/science/journal/09276505"
"Atmósfera","https://www.sciencedirect.com/science/journal/01876236"
"Atmospheric_Environment","https://www.sciencedirect.com/science/journal/13522310"
"Atmospheric_Environment_(1967)","https://www.sciencedirect.com/science/journal/00046981"
"Atmospheric_Environment_Part_A_General_Topics","https://www.sciencedirect.com/science/journal/09601686"
"Atmospheric_Environment_Part_B_Urban_Atmosphere","https://www.sciencedirect.com/science/journal/09571272"
"Atmospheric_Pollution_Research","https://www.sciencedirect.com/science/journal/13091042"
"Atmospheric_Research","https://www.sciencedirect.com/science/journal/01698095"
"Atmospheric_Science_Letters","https://www.sciencedirect.com/science/journal/1530261X"
"Atomic_Data_and_Nuclear_Data_Tables","https://www.sciencedirect.com/science/journal/0092640X"
"Automatica","https://www.sciencedirect.com/science/journal/00051098"
"Automation_in_Construction","https://www.sciencedirect.com/science/journal/09265805"
"BeniSuef_University_Journal_of_Basic_and_Applied_Sciences","https://www.sciencedirect.com/science/journal/23148535"
"Big_Data_Research","https://www.sciencedirect.com/science/journal/22145796"
"Bioactive_Carbohydrates_and_Dietary_Fibre","https://www.sciencedirect.com/science/journal/22126198"
"Bioactive_Materials","https://www.sciencedirect.com/science/journal/2452199X"
"Biochemical_Engineering_Journal","https://www.sciencedirect.com/science/journal/1369703X"
"Biochemical_Systematics_and_Ecology","https://www.sciencedirect.com/science/journal/03051978"
"Biochimica_et_Biophysica_Acta_(BBA)_Proteins_and_Proteomics","https://www.sciencedirect.com/science/journal/15709639"
"Biocybernetics_and_Biomedical_Engineering","https://www.sciencedirect.com/science/journal/02085216"
"Bioelectrochemistry","https://www.sciencedirect.com/science/journal/15675394"
"Bioelectrochemistry_and_Bioenergetics","https://www.sciencedirect.com/science/journal/03024598"
"Bioinorganic_Chemistry","https://www.sciencedirect.com/science/journal/00063061"
"Biological_Wastes","https://www.sciencedirect.com/science/journal/02697483"
"Biologically_Inspired_Cognitive_Architectures","https://www.sciencedirect.com/science/journal/2212683X"
"Biomass","https://www.sciencedirect.com/science/journal/01444565"
"Biomass_and_Bioenergy","https://www.sciencedirect.com/science/journal/09619534"
